Grade,Project #,Project name,Tool,Activity #,Activity name,Activity objective,Activity description,Activity duration,Source
2,4,Artistic show,Scratch online,7,Let's enjoy the show,Put into practice what has been learned.,Students enjoy the artistic show and share their Scratch projects about music. They put into practice what they have learned and present their work.,2c,Cursor
3,1,A brief history,Preceden,1,The evolution of computers,"Recognize the main options of an educational platform.
Use an electronic source to search for information.
List important facts in the history of computers.
Explain basic concepts that arise in the evolution of computers.
Define what digital citizenship is.","Students access TBox Academy and familiarize with its main options. Then, they use the website of the project to research the evolution of computers and learn about digital citizenship.",2c,Tbox
3,1,A brief history,Preceden,2,A timeline,"Enter events in a timeline.
Insert images in a timeline.
Share the timeline designed.",Students create a timeline showing outstanding events in the history of computers. They use images and other resources to illustrate this information.,2c,Tbox
3,2,Sports in TBox City,Word 365,1,Research is the first step,"List the main tools of a word processor.
Describe the interface of a word processor.
Use an electronic source to search for information.","Students increase their knowledge on word processing. Additionally, they learn about the importance of practicing sports. They complement their research as they learn about ergonomics in a world full of technology.",2c,Tbox
3,2,Sports in TBox City,Word 365,2,Athletics news,"Apply formatting to text.
Align a paragraph.
Modify the spacing of a paragraph.
Undo and redo processes.
Use numbering.
Copy the text formatting.
Use columns.
Insert footnotes.",Students prepare news for the website with interesting facts about athletics. They use several word processing tools to apply an appealing formatting to the content.,2c,Tbox
3,2,Sports in TBox City,Word 365,3,Interview with a swimmer,"Use the spelling checker.
Insert a table.
Change the dimensions of a table.
Modify the border and fill of a cell.
Modify the header and footer.
Insert a page number.","Everybody in the water! In this activity, students discover interesting facts about swimming and they prepare questions they ask during an interview to a renowned swimmer in their country. In this document, they work with tables to organize information.",2c,Tbox
3,2,Sports in TBox City,Word 365,4,A timeline for cycling,"Set page orientation.
Change the paper size.
Insert and modify images.
Work with shapes.
Create artistic text.
Insert hyperlinks.
Create borders on a page.","Keep pedaling! In this activity, students design a timeline that will be posted in the website, which includes important events in the history of cycling. To create this material, they work with different graphic resources and set up the document properties.",2c,Tbox
3,2,Sports in TBox City,Word 365,5,A new entry for the blog,"Modify the margins of a document.
Use the preview of a document.
Set print options.
Save the document in different formats.","Students prepare a new entry for the blog in the sports website. In this new entry they share interesting facts about gymnastics, and use various tools of the word processor to complete the document.",2c,Tbox
3,2,Sports in TBox City,Word 365,6,Sports news report,Put in practice what has been learned.,"Students put into practice what they have learned by creating a news report to encourage people to practice a sport they prefer. The news report includes interesting facts about the sport, benefits and recommendations.",2c,Tbox
3,2,Sports in TBox City,Word 365,7,Create an interactive document,Create interactive documents.,Students prepare an interactive document using an online tool in order to have a dynamic vision of the news report created in the previous activity.,2c,Tbox
3,3,Eath Healthy,Excel 365,1,Research is the first step,"Describe the main elements of a spreadsheet.
Use an electronic source to search for information.",Students research about nutrition and healthy eating. They learn the main elements of a spreadsheet to organize nutritional data.,2c,Cursor
3,3,Eath Healthy,Excel 365,2,Energy requirements,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students use a spreadsheet to explore energy, protein and carbohydrate requirements. They analyze the nutritional value of dishes and plan a healthy diet.",2c,Cursor
3,3,Eath Healthy,Excel 365,3,Protein requirements,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students use a spreadsheet to explore energy, protein and carbohydrate requirements. They analyze the nutritional value of dishes and plan a healthy diet.",2c,Cursor
3,3,Eath Healthy,Excel 365,4,Carbohydrate requirements,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students use a spreadsheet to explore energy, protein and carbohydrate requirements. They analyze the nutritional value of dishes and plan a healthy diet.",2c,Cursor
3,3,Eath Healthy,Excel 365,5,Nutritional value of typical dishes,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students use a spreadsheet to explore energy, protein and carbohydrate requirements. They analyze the nutritional value of dishes and plan a healthy diet.",2c,Cursor
3,3,Eath Healthy,Excel 365,6,Healthy diet,"Enter data in a spreadsheet.
Use formulas and format cells.
Create and customize charts.","Students use a spreadsheet to explore energy, protein and carbohydrate requirements. They analyze the nutritional value of dishes and plan a healthy diet.",2c,Cursor
3,3,Eath Healthy,Excel 365,7,Online survey,Put into practice what has been learned.,Students create and share an online survey about healthy habits. They use the spreadsheet to analyze the results and put into practice what they have learned.,2c,Cursor
3,4,Healthy families,Pixlr E,1,Research to learn,"List the basic tools of an image editor.
Use an electronic source to search for information.","Students research about healthy habits for families. In addition, they learn the basic tools of an image editor.",2c,Cursor
3,4,Healthy families,Pixlr E,2,A good night's sleep,"Edit and enhance images using the editor tools.
Add text and effects to images.","Students use the image editor to create materials about sleep, water, sun protection, exercise and important health advice for families.",2c,Cursor
3,4,Healthy families,Pixlr E,3,Let's drink water,"Edit and enhance images using the editor tools.
Add text and effects to images.","Students use the image editor to create materials about sleep, water, sun protection, exercise and important health advice for families.",2c,Cursor
3,4,Healthy families,Pixlr E,4,Let's protect ourselves from the sun,"Edit and enhance images using the editor tools.
Add text and effects to images.","Students use the image editor to create materials about sleep, water, sun protection, exercise and important health advice for families.",2c,Cursor
3,4,Healthy families,Pixlr E,5,Let's work out,"Edit and enhance images using the editor tools.
Add text and effects to images.","Students use the image editor to create materials about sleep, water, sun protection, exercise and important health advice for families.",2c,Cursor
3,4,Healthy families,Pixlr E,6,Important advice,"Edit and enhance images using the editor tools.
Add text and effects to images.","Students use the image editor to create materials about sleep, water, sun protection, exercise and important health advice for families.",2c,Cursor
3,4,Healthy families,Pixlr E,7,An animated image,Put into practice what has been learned.,Students create an animated image about healthy living. They use the image editor to put into practice what they have learned and share tips with their families.,2c,Cursor
4,1,Information security,Bubbl.us V2,1,About information security,"Recognize the main options of an educational platform.
Use an electronic source to search for information.
Explain what information security is and its objectives.
List simple tips to keep devices and information safe.","Students access TBox Academy and familiarize with its main options. Then, they use the website of the project to learn about information security and practical recommendations to protect devices and information.",2c,Tbox
4,1,Information security,Bubbl.us V2,2,Ideas about information security,"Register in an online tool.
Enter and connect ideas in the diagram.
Share the created mind map.",Students create a mind map to summarize what they have learned about information security. They connect the main ideas and illustrate them with images.,2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,1,Research to discover,"Describe basic recommendations for designing a multimedia presentation.
List the main options of a presentation editor.
Describe the interface of a presentation editor.
Use an electronic source to search for information.","Students discover basic recommendations to consider when designing a multimedia presentation. In addition, they identify the interface of a presentation editor and its main options. In digital citizenship, they learn about intellectual property.",2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,2,Public transportation innovation,"Modify the slide master.
Enter and format text.
Insert new slides into the presentation.
Copy the text formatting.
Insert images.
Use different views in the presentation editor.","Students start the elaboration of their presentation on innovation in transportation means. They modify the general parameters of the presentation and then create the first three slides: title, definition of transportation means and show the first example in a collective transporteation means. They enter and format the text and insert images.
",2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,3,Autonomous vehicles,"Create and format shapes.
Insert text boxes.
Use tools to edit an image in the presentation.
Insert an artistic text.
Align objects.
Rearrange the order of the slides.
Create links between slides.","Autonomous vehicles? Students research about autonomous vehicles and design a diagram in their presentation to demonstrate how they work. In addition, they create the menu to navigate through the content of the presentation.",2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,4,Innovations in air transportation,"Insert and modify a table.
Create actions.
Set the presentation type.
Insert a video in the presentation.
Apply transitions.","Innovations make us fly! Students continue their research to discover examples of innovations in air transportation. Students use additional resources to improve the presentation: tables, videos, transitions and actions.
",2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,5,My choice,"Duplicate a slide.
Add supporting notes in a presentation.
Animate the elements of a presentation.
Modify the printing options.","Students complete the presentation by choosing an example of innovation in a common transportation means, such as a bicycle or motorcycle. They apply animations to the elements to emphasize important points, add explanatory notes and explore printing options.",2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,6,Here's my presentation,Put in practice what they have learned.,"There are many innovations in the transportation means! Students research to choose an innovation they like and put into practice what they have learned to create an original presentation with interesting data, images, videos and other resources.",2c,Tbox
4,2,Innovation in the transportation means,PowerPoint 365,7,Recording and editing,"Record and edit an audio.
Insert an audio in a multimedia presentation.",Students use an online tool to record and edit an audio that they can incorporate in their presentation.,2c,Tbox
4,3,Innovations to solve problems,Scratch online,1,Research and learn,"Use an electronic source to search for information.
Describe the main blocks and options of Scratch.",Students research about innovations that solve everyday problems. They learn the main options of Scratch to create interactive projects.,2c,Cursor
4,3,Innovations to solve problems,Scratch online,2,Technology in the kitchen,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to explore innovations such as technology in the kitchen, the evolution of phones, Hawk-eye, solar energy and helping their community.",2c,Cursor
4,3,Innovations to solve problems,Scratch online,3,The evolution of phones,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to explore innovations such as technology in the kitchen, the evolution of phones, Hawk-eye, solar energy and helping their community.",2c,Cursor
4,3,Innovations to solve problems,Scratch online,4,Hawk-eye,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to explore innovations such as technology in the kitchen, the evolution of phones, Hawk-eye, solar energy and helping their community.",2c,Cursor
4,3,Innovations to solve problems,Scratch online,5,Solar energy,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to explore innovations such as technology in the kitchen, the evolution of phones, Hawk-eye, solar energy and helping their community.",2c,Cursor
4,3,Innovations to solve problems,Scratch online,6,Helping my community,"Add and program sprites and backdrops.
Use control and event blocks to create a project.","Students use Scratch to explore innovations such as technology in the kitchen, the evolution of phones, Hawk-eye, solar energy and helping their community.",2c,Cursor
4,3,Innovations to solve problems,Scratch online,7,Let's keep programming,Put into practice what has been learned.,Students keep programming and share their innovation projects. They put into practice what they have learned with Scratch and present their solutions.,2c,Cursor
4,4,Technology for a better life,Access 365,1,Learning about databases,"Describe what a database is and its uses.
Identify tables, records and fields.","Students learn about databases and how they support innovation. They identify tables, records and fields in Access 365.",2c,Cursor
4,4,Technology for a better life,Access 365,2,Working with records,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to manage records, use tables, create a trivia on innovations, prepare reports and explore innovations in the future.",2c,Cursor
4,4,Technology for a better life,Access 365,3,Using tables,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to manage records, use tables, create a trivia on innovations, prepare reports and explore innovations in the future.",2c,Cursor
4,4,Technology for a better life,Access 365,4,Trivia on innovations,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to manage records, use tables, create a trivia on innovations, prepare reports and explore innovations in the future.",2c,Cursor
4,4,Technology for a better life,Access 365,5,Preparing a report,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to manage records, use tables, create a trivia on innovations, prepare reports and explore innovations in the future.",2c,Cursor
4,4,Technology for a better life,Access 365,6,Innovations in the future,"Create and modify tables and relationships.
Build queries, forms and reports.","Students work with Access 365 to manage records, use tables, create a trivia on innovations, prepare reports and explore innovations in the future.",2c,Cursor
4,4,Technology for a better life,Access 365,7,Creating a tutorial,Put into practice what has been learned.,Students create a tutorial about innovations using the database. They put into practice what they have learned and share their work.,2c,Cursor
5,1,This is how the Internet works,Padlet,1,Learning more about the internet,"Recognize the main options of an educational platform.
Describe how the internet came about.
Explain briefly how the internet works.
Define the following terms: client, server, URL, ISP, DNS and IP address.
Identify internet services.
List specific recommendations to assess the reliability of an online source.","Students use the website of the project to look into the beginnings of the internet and fundamental aspects of how it functions. In addition, they review practical recommendations to evaluate the reliability of online sources.",2c,Tbox
5,1,This is how the Internet works,Padlet,2,Online board,"Enter concepts in an online board.
Add images and videos in an online board.
Share a board.","It is time to share what students have researched, and to do so they create an online board with basic internet concepts. Students enhance this board with related images and videos.
",2c,Tbox
5,2,Favorite cities,Google Sites,1,Finding information on the web,"List operators that can be used in a search engine.
Identify the process to use the advanced options in a search engine.
Describe the importance of citing the sources of information used.","Students learn new tips and “tricks” to find information on the web by using different operators. In addition, they learn about the importance of citing sources of information in their school assignments and other projects.
",2c,Tbox
5,2,Favorite cities,Google Sites,2,The word's best cities,"Use logical or boolean operators in searches.
Identify the main parts of a webpage editor.
Create a new website.
Enter and format the text on a webpage.
Work with predefined layouts to organize content on a webpage.
Modify the name of a page on the website.","Students put into practice what they have learned as they perform a search for the world’s best cities to live in. Students choose their favorite one and begin to create their own website and add these general data: name, population, area, motto and other interesting facts.
",2c,Tbox
5,2,Favorite cities,Google Sites,3,Images of my favorite city,"Use filters in a search engine to locate images with specific characteristics.
Add a new page to the website.
Add an image gallery to a webpage.
Insert a map in a webpage.","Students use different tools in the search engine to find images with specific sizes, types and formats of the city they chose. They add these images to their website, as well as a map with the exact location.
",2c,Tbox
5,2,Favorite cities,Google Sites,4,What is the climate like in my favorite city,"Use operators to search for more delimited content: related, intitle and inurl.
Search multimedia content on the web using filters to determine duration, quality and source.
Insert a video in a webpage.","Students look into the climate and natural resources of the city they chose. To do it, they use new operators such as related, intitle and inurl. Then, they use the options in the search engine to locate videos and 360° videos that they include in their website.
",2c,Tbox
5,2,Favorite cities,Google Sites,5,Let's research the economy,"Use the advanced options in a search engine.
Use the filetype operator to locate certain types of files.
Search live cameras from defined locations.
Create links on the website.","In this activity students use the advanced search options and the filetype operator to learn about the economy and trade of the city they picked. Additionally, they search for live streaming webcams around the city. With the content gathered, they create a new section in their website.
",2c,Tbox
5,2,Favorite cities,Google Sites,6,The best city to live in,"Add buttons with links on the website.
Define a footer on the website.
Verify the functioning of the website.
Publish the website with a specific URL.","Students use the search options already learned to complete their website by adding a new section, where they show five interesting facts why they would recommend living in the city they chose. Also, the students make the final modifications and complete the process to publish the site.
",2c,Tbox
5,2,Favorite cities,Google Sites,7,Designing a portal,Create a web portal linking to the sites produced in the project.,"With the teacher's support, students work in teams to build a portal with access to all of their classmates’ sites. This will provide people who visit the portal with access to interesting contents about cities around the world.
",2c,Tbox
5,3,Tourist destinations,Canva,1,Learning about the email,"Describe the main options of a graphic design tool.
Use an electronic source to search for information.",Students learn about email and tourist destinations. They explore the main options of Canva for creating graphic materials.,2c,Cursor
5,3,Tourist destinations,Canva,2,A magazine article,"Create a design using templates and elements.
Add text, images and export the design.","Students use Canva to create a magazine article, tourism poster, infographic, and other materials about tourist attractions and city treasures.",2c,Cursor
5,3,Tourist destinations,Canva,3,A tourism poster,"Create a design using templates and elements.
Add text, images and export the design.","Students use Canva to create a magazine article, tourism poster, infographic, and other materials about tourist attractions and city treasures.",2c,Cursor
5,3,Tourist destinations,Canva,4,Tourist attractions infographic,"Create a design using templates and elements.
Add text, images and export the design.","Students use Canva to create a magazine article, tourism poster, infographic, and other materials about tourist attractions and city treasures.",2c,Cursor
5,3,Tourist destinations,Canva,5,City treasures,"Create a design using templates and elements.
Add text, images and export the design.","Students use Canva to create a magazine article, tourism poster, infographic, and other materials about tourist attractions and city treasures.",2c,Cursor
5,3,Tourist destinations,Canva,6,A design of your choice,"Create a design using templates and elements.
Add text, images and export the design.","Students use Canva to create a magazine article, tourism poster, infographic, and other materials about tourist attractions and city treasures.",2c,Cursor
5,3,Tourist destinations,Canva,7,Designs published on the web,Put into practice what has been learned.,Students publish their designs on the web and share them. They put into practice what they have learned with Canva for the tourist destinations project.,2c,Cursor
5,4,The world of music,Soundtrap,1,Research and learn,"Describe the main options of an audio editing tool.
Use an electronic source to search for information.",Students research about music and audio production. They learn the main options of Soundtrap for creating podcasts.,2c,Cursor
5,4,The world of music,Soundtrap,2,Creating my first podcast,"Record and mix audio tracks.
Add effects and export the project.","Students use Soundtrap to create their first podcast, mix audios, add effects, publish episodes and explore traditional music.",2c,Cursor
5,4,The world of music,Soundtrap,3,Mixing audios in the podcast,"Record and mix audio tracks.
Add effects and export the project.","Students use Soundtrap to create their first podcast, mix audios, add effects, publish episodes and explore traditional music.",2c,Cursor
5,4,The world of music,Soundtrap,4,Podcast with effects,"Record and mix audio tracks.
Add effects and export the project.","Students use Soundtrap to create their first podcast, mix audios, add effects, publish episodes and explore traditional music.",2c,Cursor
5,4,The world of music,Soundtrap,5,Publishing a podcast,"Record and mix audio tracks.
Add effects and export the project.","Students use Soundtrap to create their first podcast, mix audios, add effects, publish episodes and explore traditional music.",2c,Cursor
5,4,The world of music,Soundtrap,6,Traditional music,"Record and mix audio tracks.
Add effects and export the project.","Students use Soundtrap to create their first podcast, mix audios, add effects, publish episodes and explore traditional music.",2c,Cursor
5,4,The world of music,Soundtrap,7,Educational podcasts,Put into practice what has been learned.,Students create and share educational podcasts about music. They put into practice what they have learned with Soundtrap.,2c,Cursor
6,1,Reality in other dimensions,Canva,1,Learning through research,"Recognize the main options of an educational platform.
Explain the concept of virtual reality.
Define what augmented reality consists of.
List uses of virtual reality and augmented reality.
Expose the differences between virtual reality and augmented reality.
Define what is the digital divide.
List the main effects of the digital divide.","Students use the website of the project to research about virtual reality and augmented reality. In addition, they learn about the digital divide and its effects.
",2c,Tbox
6,1,Reality in other dimensions,Canva,2,Designing a publication,"Register in a graphic design web application.
Choose the base design or template to create a new publication.
Insert and configure images in a design.
Insert and modify shapes in a design.
Enter text and apply formatting.
Save and share a publication.","In order to share what students learned about virtual reality and augmented reality, they design a publication in an online tool. They use images, shapes and short texts to present these technologies.
",2c,Tbox
6,2,Entertainment numbers,Excel 365,1,We learn as we research,"Explain how to work with functions and formulas in a spreadsheet.
Describe the usefulness of conditional formatting and filters in a data table.
Identify the main tools of a spreadsheet.
Define what is the digital identity.
List recommendations to maintain a good digital identity.","Students learn more about spreadsheets and they become familiar with some basic concepts of the entertainment industry. Additionally, they learn what digital identity is and practical tips to protect it.
",2c,Tbox
